SUB_MAE;SUB_FILHA;CIRCUITO;MAE;FILHA
1150;335893881;613087;SETD GUANABARA;SESD ILHA DE PAQUETA
18520398;18520569;18770441;SETD SAUDADE;SESD BOCAINA
18520614;18520974;18771131;SETD SAPUCAIA;SESD MANGUEIRAL
18520893;18520956;18772277;SETD QUEIMADOS;SESD TEOFILO
18521154;18520012;18796021;SETD SEROPÉDICA;SESD VILA GRACA
18520299;18520938;18770081;SETD SANTA CECILIA;SESD SANTANESIA
18520299;18520920;18770081;SETD SANTA CECILIA;SESD MORSING
18520326;18520596;18769847;SETD TRES RIOS;SESD WERNECK
18521208;18521325;18795847;SETD BRISAMAR;SESD ILHA DA MADEIRA
18520353;18520632;18770033;SETD CENTENÁRIO;SESD MORRO AZUL
18520353;258717802;18770027;SETD CENTENÁRIO;SESD PENTAGNA
18520326;18520003;18769841;SETD TRES RIOS;SESD AVELAR
18520893;248609788;18772283;SETD QUEIMADOS;SESD MARCONE
18520353;18520452;18770015;SETD CENTENÁRIO;SESD JUNQUEIRA
18521154;18520021;18796021;SETD SEROPÉDICA;SESD MARAJOARA
18521154;18521010;418312994;SETD SEROPÉDICA;SESD PONTE COBERTA
18520299;143020517;18770075;SETD SANTA CECILIA;SESD CONSERVATORIA
18520371;18520668;18770003;SETD VIGARIO;SESD ARROZAL
18520371;18520650;18770009;SETD VIGARIO;SESD PIRAI
18519958;18520740;18772655;SETD ESPERANÇA;SESD SEPETIBA
18520299;18520641;18770081;SETD SANTA CECILIA;SESD MENDES
18520767;134608399;18771713;SETD ROCHA FREIRE;SESD SANTA PERCILIANA
18520353;18520677;18769949;SETD CENTENÁRIO;SESD ENGENHEIRO NOBREGA
18520893;18521100;18772301;SETD QUEIMADOS;SESD CABUCU
18520470;18520434;18770645;SETD VOLTA REDONDA;SESD RIO CLARO
449886789;18521334;431187321;SETD INFLUENCIA;SESD POSSE
18520299;18520542;18770069;SETD SANTA CECILIA;SESD ESTEVES
18520353;18520506;18769955;SETD CENTENÁRIO;SESD CANANEIA
18520299;18520659;18770111;SETD SANTA CECILIA;SESD PAULO DE FRONTIN NOVA
18520353;18520524;18769949;SETD CENTENÁRIO;SESD IPIRANGA
18520470;18521199;18770645;SETD VOLTA REDONDA;SESD DUTRA
18520767;18520245;18771689;SETD ROCHA FREIRE;SESD PARAISO
18521352;18521190;18770987;SETD ELDORADO;SESD CAPIVARI
18520767;18520227;18770399;SETD ROCHA FREIRE;SESD AUSTIN
18520353;18520560;18770033;SETD CENTENÁRIO;SESD GOVERNADOR PORTELA
18521154;18520578;18796033;SETD SEROPÉDICA;SESD JAPERI
18521208;18521280;18795835;SETD BRISAMAR;SESD RIO SANTOS
18520353;18520389;18770027;SETD CENTENÁRIO;SESD PARAPEUNA
18520470;18520380;18770627;SETD VOLTA REDONDA;SESD PINHEIRAL
18521136;138550225;18795733;SETD SANTISSIMO;SESD VITORIA
18520353;18520335;18770027;SETD CENTENÁRIO;SESD RIO DAS FLORES
18520767;18520812;18770411;SETD ROCHA FREIRE;SESD VILA DE CAVA
18520767;406362690;18770405;SETD ROCHA FREIRE;SESD RIO DOURO
18519976;18521082;18773207;SETD NOVA IGUACU;SESD MIGUEL COUTO
18520326;18520587;18770501;SETD TRES RIOS;SESD MOURA BRASIL
18519976;18521163;18773213;SETD NOVA IGUACU;SESD AIMORES
18521136;18520695;18795703;SETD SANTISSIMO;SESD CAMPINA
18520470;18520344;18770681;SETD VOLTA REDONDA;SESD TURVO
18521136;18520713;18795697;SETD SANTISSIMO;SESD QUINCAS
18520299;18520317;18770093;SETD SANTA CECILIA;SESD VARGEM ALEGRE
18520299;18520308;18770075;SETD SANTA CECILIA;SESD SANTA ISABEL
18520299;18520515;18770069;SETD SANTA CECILIA;SESD SAO FRANCISCO
18519958;660138488;18772655;SETD ESPERANÇA;SESD SANTA CRUZ
18520299;18520686;18770117;SETD SANTA CECILIA;SESD BARRA DO PIRAI
18520299;18521217;18770087;SETD SANTA CECILIA;SESD ASSIS RIBEIRO
18520614;18521307;18771137;SETD SAPUCAIA;SESD ANTA
18520614;18521019;18771131;SETD SAPUCAIA;SESD APARECIDA
18520470;18520992;18770645;SETD VOLTA REDONDA;SESD LIDICE
18520326;18521046;18770507;SETD TRES RIOS;SESD SERRARIA
18520326;18520605;18769847;SETD TRES RIOS;SESD PARAIBA DO SUL
18520371;18520290;18770003;SETD VIGARIO;SESD MONTANHES
18520353;18520416;18770015;SETD CENTENÁRIO;SESD FERREIROS
18520893;18521109;18772271;SETD QUEIMADOS;SESD PEDREIRA
18520398;18520983;18770453;SETD SAUDADE;SESD QUATIS
18520299;18520254;18770117;SETD SANTA CECILIA;SESD QUIMICA
18521154;18521145;18796009;SETD SEROPÉDICA;SESD LAGES
18520326;18520362;18769841;SETD TRES RIOS;SESD ANDRADE PINTO
18520353;18520443;18769955;SETD CENTENÁRIO;SESD PATY DO ALFERES
18520353;18520425;18770027;SETD CENTENÁRIO;SESD TABOAS
18520470;18521226;18770615;SETD VOLTA REDONDA;SESD UNISOL
18520353;18521127;18770033;SETD CENTENÁRIO;SESD MIGUEL PEREIRA
18521154;18521244;18796009;SETD SEROPÉDICA;SESD PARACAMBI
18520470;18521073;18770681;SETD VOLTA REDONDA;SESD AMPARO
18520353;18519967;18770135;SETD CENTENÁRIO;SESD FRANCISCO  MEDEIROS
18520767;134595522;18771713;SETD ROCHA FREIRE;SESD TUIUTI
18520371;405941887;18770009;SETD VIGARIO;SESD SANTA ROSA
18520299;18520272;18770075;SETD SANTA CECILIA;SESD IPIABAS
18520893;18521298;18772319;SETD QUEIMADOS;SESD CAMPO ALEGRE
18521136;18520497;18795739;SETD SANTISSIMO;SESD KENEDY
18520353;18520533;18769955;SETD CENTENÁRIO;SESD MAÇAMBARA
18519958;18520704;18772649;SETD ESPERANÇA;SESD MAGARÇA
18520353;427261589;18770027;SETD CENTENÁRIO;SESD VALENÇA NOVA
18521136;18520623;18795709;SETD SANTISSIMO;SESD CAMPO GRANDE
18520326;326499107;18770519;SETD TRES RIOS;SESD VILA ISABEL
18520470;18520281;18770645;SETD VOLTA REDONDA;SESD GETULANDIA
18520299;18520236;18770075;SETD SANTA CECILIA;SESD BELVEDERE
18520470;18521118;18770681;SETD VOLTA REDONDA;SESD SANTA RITA
449886789;18521262;431187091;SETD INFLUENCIA;SESD COTRIL
18520353;30526190;18770033;SETD CENTENÁRIO;SESD PALMAS
449886789;18520551;431187360;SETD INFLUENCIA;SESD JAMAPARA
18520326;109363914;18770507;SETD TRES RIOS;SESD LEVY
18520353;18520884;18770027;SETD CENTENÁRIO;SESD BARAO DE JUPARANA
18520398;18520866;18770453;SETD SAUDADE;SESD FLORIANO
18520398;18521271;18770453;SETD SAUDADE;SESD VILA POMBAL
18520470;18521253;18770645;SETD VOLTA REDONDA;SESD ATAULFO DE PAIVA
18519958;18521172;18772661;SETD ESPERANÇA;SESD PIRANEMA
18520893;457701774;18772313;SETD QUEIMADOS;SESD CARAMUJOS
18521208;18521181;135610322;SETD BRISAMAR;SESD COLONIAL
18520893;497739010;18772289;SETD QUEIMADOS;SESD VILA AMERICANA
18521352;319319016;18770987;SETD ELDORADO;SESD SAO LOURENCO
18521208;25794114;18795847;SETD BRISAMAR;SESD CAÇADOR
29148432;550392038;608752098;SETD MATO ALTO;SESD MARMELO
29148432;135613108;113096174;SETD MATO ALTO;SESD AMERICAS
29148432;25455230;106491888;SETD MATO ALTO;SESD GUARATIBA
449886789;18520848;431187091;SETD INFLUENCIA;SESD CARMO
18521154;25334769;18796015;SETD SEROPÉDICA;SESD UNIVERSIDADE
29148432;22183116;106491660;SETD MATO ALTO;SESD PIAI
18521208;25764042;18795901;SETD BRISAMAR;SESD MAZOMBA
18519958;455138316;18772673;SETD ESPERANÇA;SESD MANGUARIBA
