ID;NOME;CLASSIFICACAO;QTD_UNTRD
612835386;SETD FLORIANO PEIXOTO;4. Transporte/Manobra;0
18520227;SESD AUSTIN;2. Distribuição Satélite;122
18520848;SESD CARMO;2. Distribuição Satélite;537
277466383;SETD NILO PECANHA;4. Transporte/Manobra;0
660138488;SESD SANTA CRUZ;2. Distribuição Satélite;74
18520236;SESD BELVEDERE;2. Distribuição Satélite;75
18520380;SESD PINHEIRAL;2. Distribuição Satélite;323
277466392;SETD PEREIRA PASSOS;4. Transporte/Manobra;0
18520389;SESD PARAPEUNA;2. Distribuição Satélite;375
18520983;SESD QUATIS;2. Distribuição Satélite;591
18520866;SESD FLORIANO;2. Distribuição Satélite;195
18520245;SESD PARAISO;2. Distribuição Satélite;216
18520398;SETD SAUDADE;3. Transformadora Pura;0
18520992;SESD LIDICE;2. Distribuição Satélite;341
18520875;SETD RETIRO;1. Distribuição Plena;893
18520254;SESD QUIMICA;2. Distribuição Satélite;215
18520416;SESD FERREIROS;2. Distribuição Satélite;141
18521010;SESD PONTE COBERTA;2. Distribuição Satélite;251
18520884;SESD BARAO DE JUPARANA;2. Distribuição Satélite;120
18520272;SESD IPIABAS;2. Distribuição Satélite;273
10385898;SETD TROVAO;1. Distribuição Plena;674
278601339;SETD AUGUSTO VASCONCELOS;4. Transporte/Manobra;0
18520893;SETD QUEIMADOS;3. Transformadora Pura;0
18521208;SETD BRISAMAR;3. Transformadora Pura;0
18521019;SESD APARECIDA;2. Distribuição Satélite;793
133869814;SE RESERVA TECNICA;3. Transformadora Pura;0
18521217;SESD ASSIS RIBEIRO;2. Distribuição Satélite;199
18520425;SESD TABOAS;2. Distribuição Satélite;278
18521046;SESD SERRARIA;2. Distribuição Satélite;207
18520902;SETD MENA BARRETO;1. Distribuição Plena;1344
10385907;SETD BARRA;1. Distribuição Plena;1251
18521226;SESD UNISOL;2. Distribuição Satélite;255
319319016;SESD SAO LOURENCO;2. Distribuição Satélite;54
18521244;SESD PARACAMBI;2. Distribuição Satélite;387
278601365;SETD LAMEIRAO;4. Transporte/Manobra;0
50995643;SESD FRANCISCO MEDEIROS;4. Transporte/Manobra;0
51051566;SETD ILHA DOS POMBOS;4. Transporte/Manobra;0
18521145;SESD LAGES;2. Distribuição Satélite;222
55813421;SETD LEBLON;1. Distribuição Plena;397
18521154;SETD SEROPÉDICA;1. Distribuição Plena;1
109363914;SESD LEVY;2. Distribuição Satélite;155
18521163;SESD AIMORES;2. Distribuição Satélite;134
132097219;SETD RECREIO;1. Distribuição Plena;1255
134595522;SESD TUIUTI;2. Distribuição Satélite;416
18521172;SESD PIRANEMA;2. Distribuição Satélite;262
310124342;SETD FIO CRUZ;4. Transporte/Manobra;0
18521181;SESD COLONIAL;2. Distribuição Satélite;287
310124393;SETR PAC ALEMAO;4. Transporte/Manobra;0
310125045;SETD OWENS ILLINOIS;4. Transporte/Manobra;0
18521190;SESD CAPIVARI;2. Distribuição Satélite;273
310129856;SETD ITAGUAI;1. Distribuição Plena;756
18521199;SESD DUTRA;2. Distribuição Satélite;116
310718139;SETD SÃO JOÃO;1. Distribuição Plena;565
289218076;SETR DEL CASTILHO;4. Transporte/Manobra;0
289308250;SETR CARANDÁ;4. Transporte/Manobra;0
311313391;SETD METRO COLEGIO;4. Transporte/Manobra;0
289385542;SETR LINS;4. Transporte/Manobra;0
311314060;SETD FICAP;4. Transporte/Manobra;0
292112253;SEMT CORDOVIL;4. Transporte/Manobra;0
535612098;SETD OLIMPICA;3. Transformadora Pura;0
540348380;SETD CONCAL;4. Transporte/Manobra;0
295567992;SETD CASA DA MOEDA;4. Transporte/Manobra;0
543045036;SETD FAB DE CAT. CARIOCA_DESATIVADA;4. Transporte/Manobra;0
295568076;SETD NUCLEP;4. Transporte/Manobra;0
543062251;SETD CARTA GOIAS_DESATIVADA;4. Transporte/Manobra;0
295955379;SEMT OLARIA;4. Transporte/Manobra;0
550392038;SESD MARMELO;2. Distribuição Satélite;199
309720848;SETD PROJAC;4. Transporte/Manobra;0
550434978;SETD METRO BOTAFOGO;4. Transporte/Manobra;0
550529446;SETD SUPERVIA MANGUEIRA;4. Transporte/Manobra;0
550452154;SETD METRO FREI CANECA;4. Transporte/Manobra;0
550477918;SETD CENPES;4. Transporte/Manobra;0
550538034;SETD SUPERVIA MADUREIRA;4. Transporte/Manobra;0
550486506;SETD AEROPORTO GALEAO;4. Transporte/Manobra;0
550555219;SETD BENFICA SUPERVIA;4. Transporte/Manobra;0
18520344;SESD TURVO;2. Distribuição Satélite;185
550812850;SETD MICHELIN;4. Transporte/Manobra;0
18520353;SETD CENTENÁRIO;3. Transformadora Pura;0
18520524;SESD IPIRANGA;2. Distribuição Satélite;160
1249;SETD COLEGIO;1. Distribuição Plena;939
18520533;SESD MAÇAMBARA;2. Distribuição Satélite;108
18520542;SESD ESTEVES;2. Distribuição Satélite;211
1258;SETD GUADALUPE;1. Distribuição Plena;1024
18520551;SESD JAMAPARA;2. Distribuição Satélite;270
1267;SETD VIGARIO GERAL;1. Distribuição Plena;764
18520560;SESD GOVERNADOR PORTELA;2. Distribuição Satélite;509
18520569;SESD BOCAINA;2. Distribuição Satélite;236
550907318;SETD COMPANHIA BRASILEIRA DE BEBIDAS;4. Transporte/Manobra;0
322244161;SETD BARBARA;4. Transporte/Manobra;0
18520281;SESD GETULANDIA;2. Distribuição Satélite;261
18521253;SESD ATAULFO DE PAIVA;2. Distribuição Satélite;107
326499107;SESD VILA ISABEL;2. Distribuição Satélite;129
551027550;SETD FABRICA DE VIDROS;4. Transporte/Manobra;0
18520434;SESD RIO CLARO;2. Distribuição Satélite;510
279436352;SETR  BONFIM;4. Transporte/Manobra;0
18520578;SESD JAPERI;2. Distribuição Satélite;287
335893881;SESD ILHA DE PAQUETA;2. Distribuição Satélite;37
18521055;SETD COELHO DA ROCHA;1. Distribuição Plena;969
18520290;SESD MONTANHES;2. Distribuição Satélite;190
10385916;SETD PORTA D'AGUA;1. Distribuição Plena;1899
18521262;SESD COTRIL;2. Distribuição Satélite;162
18520587;SESD MOURA BRASIL;2. Distribuição Satélite;168
18521064;SETD FONTINELE;1. Distribuição Plena;1103
345834478;SETD BARRA 2;1. Distribuição Plena;336
18520596;SESD WERNECK;2. Distribuição Satélite;867
280191046;SETD CINTRA;4. Transporte/Manobra;0
18520443;SESD PATY DO ALFERES;2. Distribuição Satélite;898
18521073;SESD AMPARO;2. Distribuição Satélite;237
498327289;SETD PCH LAJES;4. Transporte/Manobra;0
502578496;SETD BASE NAVAL_DESATIVADA;4. Transporte/Manobra;0
10386033;SETD LEOPOLDO;1. Distribuição Plena;619
502844928;SETD ASCENTY_DESATIVADA;4. Transporte/Manobra;0
10386087;SETD POSTO SEIS;1. Distribuição Plena;429
504476367;SETD DUPONT;4. Transporte/Manobra;0
1276;SETD MATURACA;1. Distribuição Plena;753
10386096;SETD HUMAITÁ;1. Distribuição Plena;251
1285;SETD AGUA GRANDE;1. Distribuição Plena;748
504644331;SETD RIO DA CIDADE;4. Transporte/Manobra;0
553217490;SETD PORTO SUDESTE;4. Transporte/Manobra;0
10386042;SETD CURICICA;1. Distribuição Plena;1275
18520731;SETD AREIA BRANCA;1. Distribuição Plena;1674
135613108;SESD AMERICAS;2. Distribuição Satélite;183
134608399;SESD SANTA PERCILIANA;2. Distribuição Satélite;134
10386105;SETD FREI CANECA;1. Distribuição Plena;936
1294;SETD TURIACU;1. Distribuição Plena;733
138550225;SESD VITORIA;2. Distribuição Satélite;139
553221784;SETD USINA GERADORA SANTA FE;4. Transporte/Manobra;0
10386114;SETD MACKENZIE;1. Distribuição Plena;281
18520794;SETD VILAR DOS TELES;1. Distribuição Plena;667
143020517;SESD CONSERVATORIA;2. Distribuição Satélite;344
553273312;SETD USINA MONTE SERRAT;4. Transporte/Manobra;0
152677490;SETD COPACABANA;1. Distribuição Plena;305
1303;SETD PAVUNA;1. Distribuição Plena;1143
18519958;SETD ESPERANÇA;1. Distribuição Plena;1032
553286194;SETD USINA BONFANTE;4. Transporte/Manobra;0
224567922;SETD MARAPICU;1. Distribuição Plena;783
1312;SETD MERITI;1. Distribuição Plena;648
10386051;SETD CAMPO MARTE;1. Distribuição Plena;419
18520803;SETD SARAPUI;1. Distribuição Plena;1163
248609788;SESD MARCONE;2. Distribuição Satélite;183
553290488;SETD USINA DE SANTA CRUZ;4. Transporte/Manobra;0
18519967;SESD FRANCISCO  MEDEIROS;2. Distribuição Satélite;460
18520740;SESD SEPETIBA;2. Distribuição Satélite;221
258717802;SESD PENTAGNA;2. Distribuição Satélite;641
10385871;SETD TAQUARA;1. Distribuição Plena;1343
272870827;SEMT PALMARES;4. Transporte/Manobra;0
18520812;SESD VILA DE CAVA;2. Distribuição Satélite;183
1123;SETD TERRA NOVA;1. Distribuição Plena;859
553294782;SETD CEPEL;4. Transporte/Manobra;0
18519976;SETD NOVA IGUACU;1. Distribuição Plena;1156
18520749;SETD JABOATAO;1. Distribuição Plena;1581
553299076;SETD PORTUÁRIA DE SEPETIBA;4. Transporte/Manobra;0
18519985;SETD ROSALI;1. Distribuição Plena;1192
275730622;SETR PAULA BRITO;4. Transporte/Manobra;0
10385880;SETD JARDIM BOTANICO;1. Distribuição Plena;612
277466329;SETD AGA;4. Transporte/Manobra;0
553303370;SETD CPR COMERCIO DE PLASTICO;4. Transporte/Manobra;0
18520974;SESD MANGUEIRAL;2. Distribuição Satélite;461
18520758;SETD CACHAMORRA;1. Distribuição Plena;1429
18519994;SETD WASHINGTON LUIS;1. Distribuição Plena;778
18520767;SETD ROCHA FREIRE;3. Transformadora Pura;0
277466338;SETR BERNARDINO DE MELO;4. Transporte/Manobra;0
10385889;SETD ALDEIA CAMPISTA;1. Distribuição Plena;687
18520003;SESD AVELAR;2. Distribuição Satélite;593
18520785;SETD CAXIAS;1. Distribuição Plena;1319
277466347;SETD COSIGUA SANTA CRUZ;4. Transporte/Manobra;0
574520576;SETD JACAREPAGUÁ;4. Transporte/Manobra;0
277466356;SETD ELETROBOLT;4. Transporte/Manobra;0
18520362;SESD ANDRADE PINTO;2. Distribuição Satélite;273
18520012;SESD VILA GRACA;2. Distribuição Satélite;498
18520821;SETD COMENDADOR SOARES;1. Distribuição Plena;1297
1132;SETD RAMOS;1. Distribuição Plena;475
18520371;SETD VIGARIO;3. Transformadora Pura;0
277466365;SETD FONTES NOVA;4. Transporte/Manobra;0
612564864;SETD ZONA OESTE;4. Transporte/Manobra;0
18520021;SESD MARAJOARA;2. Distribuição Satélite;265
18520839;SETD COSMOS;1. Distribuição Plena;998
277466374;SEMT MAJOR VAZ;4. Transporte/Manobra;0
18521271;SESD VILA POMBAL;2. Distribuição Satélite;39
280191075;SETD PAPEL PIRAHY;4. Transporte/Manobra;0
18521280;SESD RIO SANTOS;2. Distribuição Satélite;154
18521298;SESD CAMPO ALEGRE;2. Distribuição Satélite;25
280223189;SETD CIFERAL;4. Transporte/Manobra;0
18521307;SESD ANTA;2. Distribuição Satélite;469
280389625;SETD CARMARI;1. Distribuição Plena;882
18521325;SESD ILHA DA MADEIRA;2. Distribuição Satélite;54
18521334;SESD POSSE;2. Distribuição Satélite;148
283540595;SETD GRAJAU;4. Transporte/Manobra;0
18521352;SETD ELDORADO;3. Transformadora Pura;0
284879469;SETD BAYER;4. Transporte/Manobra;0
284879616;SETD GUANDU;4. Transporte/Manobra;0
18521082;SESD MIGUEL COUTO;2. Distribuição Satélite;149
284879839;SETD PANAMERICANA;4. Transporte/Manobra;0
22183116;SESD PIAI;2. Distribuição Satélite;129
18521100;SESD CABUCU;2. Distribuição Satélite;153
25334769;SESD UNIVERSIDADE;2. Distribuição Satélite;252
284904325;SETD SÃO JOSÉ;4. Transporte/Manobra;0
18521109;SESD PEDREIRA;2. Distribuição Satélite;169
18521118;SESD SANTA RITA;2. Distribuição Satélite;218
1195;SETD BOCA DO MATO;1. Distribuição Plena;829
25455230;SESD GUARATIBA;2. Distribuição Satélite;279
1204;SETD TRIAGEM;1. Distribuição Plena;631
25764042;SESD MAZOMBA;2. Distribuição Satélite;162
1213;SETD GOVERNADOR;1. Distribuição Plena;734
25794114;SESD CAÇADOR;2. Distribuição Satélite;353
1222;SETD FUNDAO;1. Distribuição Plena;59
25987899;SESD VERIDIANA;1. Distribuição Plena (Circuito não mapeado);1
29148432;SETD MATO ALTO;3. Transformadora Pura;0
1231;SETD PIEDADE;1. Distribuição Plena;717
29186320;SEMT TERMINAL SUL;4. Transporte/Manobra;0
30526190;SESD PALMAS;2. Distribuição Satélite;114
18521127;SESD MIGUEL PEREIRA;2. Distribuição Satélite;394
1240;SETD PEDRO ERNESTO;1. Distribuição Plena;1104
18521136;SETD SANTISSIMO;3. Transformadora Pura;0
34192093;SETD SANTA CLARA;1. Distribuição Plena;987
18520299;SETD SANTA CECILIA;3. Transformadora Pura;0
18520605;SESD PARAIBA DO SUL;2. Distribuição Satélite;432
18520308;SESD SANTA ISABEL;2. Distribuição Satélite;606
18520317;SESD VARGEM ALEGRE;2. Distribuição Satélite;195
18520614;SETD SAPUCAIA;3. Transformadora Pura;0
18520326;SETD TRES RIOS;1. Distribuição Plena;761
18520335;SESD RIO DAS FLORES;2. Distribuição Satélite;327
18520623;SESD CAMPO GRANDE;2. Distribuição Satélite;188
18520632;SESD MORRO AZUL;2. Distribuição Satélite;164
551882056;SETD SIDERURGICA BARRA MANSA;4. Transporte/Manobra;0
18520650;SESD PIRAI;2. Distribuição Satélite;440
18520641;SESD MENDES;2. Distribuição Satélite;265
18520659;SESD PAULO DE FRONTIN NOVA;2. Distribuição Satélite;265
18520668;SESD ARROZAL;2. Distribuição Satélite;222
18520677;SESD ENGENHEIRO NOBREGA;2. Distribuição Satélite;154
18520686;SESD BARRA DO PIRAI;2. Distribuição Satélite;151
18520695;SESD CAMPINA;2. Distribuição Satélite;182
18520704;SESD MAGARÇA;2. Distribuição Satélite;201
553208911;SETD COMPANHIA SIDERURGICA NACIONAL;4. Transporte/Manobra;0
1141;SETD CACHAMBI;1. Distribuição Plena;1045
18520713;SESD QUINCAS;2. Distribuição Satélite;216
1150;SETD GUANABARA;1. Distribuição Plena;764
1159;SETD BRAS DE PINA;1. Distribuição Plena;683
1168;SETD DEMOCRATICOS;1. Distribuição Plena;618
1177;SETD VILA VALQUEIRE;1. Distribuição Plena;883
1186;SETD CASCADURA;1. Distribuição Plena;1435
358270314;SETD PORTO DE GRANEIS;4. Transporte/Manobra;0
405941887;SESD SANTA ROSA;2. Distribuição Satélite;126
10385925;SETD LEME;1. Distribuição Plena;152
406362690;SESD RIO DOURO;2. Distribuição Satélite;98
18520911;SETD ZONA INDUSTRIAL;1. Distribuição Plena;296
10385934;SETD BOTAFOGO;1. Distribuição Plena;353
18520920;SESD MORSING;2. Distribuição Satélite;105
427261589;SESD VALENÇA NOVA;2. Distribuição Satélite;157
432307066;SETD FUNIL;4. Transporte/Manobra;0
18520452;SESD JUNQUEIRA;2. Distribuição Satélite;337
10385943;SETD ALVORADA;1. Distribuição Plena;697
432328516;SETD VULCAN;4. Transporte/Manobra;0
10385961;SETD BAEPENDI;1. Distribuição Plena;559
18520461;SETD ARI FRANCO;1. Distribuição Plena;1230
10385970;SETD SANTO ANTONIO;1. Distribuição Plena;474
432333038;SETD UFEM;4. Transporte/Manobra;0
10385979;SETD URUGUAI;1. Distribuição Plena;618
10385988;SETD ITAPEBA;1. Distribuição Plena;998
449886789;SETD INFLUENCIA;3. Transformadora Pura;0
450101398;SETD PACIENCIA;1. Distribuição Plena;1067
18520470;SETD VOLTA REDONDA;1. Distribuição Plena;1054
453768618;SETR GLOBO;4. Transporte/Manobra;0
455138316;SESD MANGUARIBA;2. Distribuição Satélite;5
10385997;SETD SAMARITANO;1. Distribuição Plena;229
18520479;SETD PADRE MIGUEL;1. Distribuição Plena;1102
457474244;SETD GARDENIA;1. Distribuição Plena;499
18520488;SETD CAMARA;1. Distribuição Plena;1413
457701774;SESD CARAMUJOS;2. Distribuição Satélite;143
18520497;SESD KENEDY;2. Distribuição Satélite;139
461733896;SEMT INTEGRAÇÃO;4. Transporte/Manobra;0
18520506;SESD CANANEIA;2. Distribuição Satélite;48
10386006;SETD RIO COMPRIDO;1. Distribuição Plena;804
18520515;SESD SAO FRANCISCO;2. Distribuição Satélite;164
469239770;SETD PCH PARACAMBI;4. Transporte/Manobra;0
18520929;SETD INMETRO;1. Distribuição Plena;812
473714081;SETD AIR LIQUIDE - MESSER;4. Transporte/Manobra;0
10386015;SETD CAMERINO;1. Distribuição Plena;460
484023983;SETR METRO BARRA;4. Transporte/Manobra;0
18520938;SESD SANTANESIA;2. Distribuição Satélite;267
488045000;SEMT NOVA IGUAÇU;4. Transporte/Manobra;0
18520956;SESD TEOFILO;2. Distribuição Satélite;294
10386060;SETD SÃO CONRADO;1. Distribuição Plena;480
497739010;SESD VILA AMERICANA;2. Distribuição Satélite;342
10386069;SETD SANTA LUZIA;1. Distribuição Plena;272
